"company","invoice","paymentNumber","payment","dueDate","paymentDate","amount","status","invoiceStatus","notes","paymentMethod","note","Debt Report","Payments","All Schedules","ID","Created Date","Updated Date","Owner","percentage","subInvoice"
"0d5fb996-1d33-40e4-a21c-63d0244f4b18","930bd69d-b11b-4e96-b4d0-856b654350a4",,"Jan - Feb",2025-01-21T20:00:00Z,2025-01-26T20:00:00Z,1000,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","056656fe-4498-49d0-bcd9-48d9c13ee31b",2025-01-23T14:37:33Z,2025-08-13T12:42:26Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"bea1a37b-e930-488d-afcc-72b6d412ac08","2b42f104-f035-4ca8-ada3-3ff58fb15cdc",,"August - September",2024-07-29T20:00:00Z,2024-07-31T20:00:00Z,5775,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","063fd778-f823-42c0-8ec8-ab68ff18fa5c",2024-07-16T12:03:16Z,2025-08-11T08:44:07Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","e1361ea9-23f8-4dcf-9dc7-e71489b1a1b1",,"Due for Payment",2025-09-29T20:00:00Z,2025-10-15T20:00:00Z,1050,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","06663aaf-fe67-4ed5-bf41-83b35b3b2c3f",2025-09-30T11:56:13Z,2025-12-11T09:56:22Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"34a2f467-ef8e-4733-b6ad-7d176e614466","b25a6291-9c3a-467d-9f20-0d9d34158f4b",,"Installment 12",2025-05-30T20:00:00Z,2025-06-02T20:00:00Z,5250,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","06aa6ede-0e17-4185-b2f5-8d08dede353b",2024-07-18T08:07:52Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"21174091-b4b6-4c66-8637-9f661fa79705","07479b60-8e5e-4445-af0f-78b88a249570",,"Payment Due",2026-03-17T20:00:00Z,,3500,"Due","Active",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","086aadfd-aac2-4f8b-8d67-880db87eae41",2026-03-18T08:24:32Z,2026-03-27T14:27:13Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"97fa41fe-3189-46cb-93d0-c7aa942c609c","28612ab3-486d-49aa-8ef8-0f201b6c03e7",,"50% Final Payment",2023-02-09T16:00:00Z,2023-03-09T16:00:00Z,2000,"Paid","Active","<p>03/06 - Chased</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0871b9f0-08ac-4c10-b18b-eb6cc3a7910d",2023-02-02T07:28:39Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"3ff05957-c1b1-4d96-8e10-c8164cc198fd","6ae491f8-77cf-47a3-b479-9b703698e2fe",,"Full Payment",2023-03-06T16:00:00Z,2023-03-07T16:00:00Z,350,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","08a8b707-e18c-4484-9832-8cd2fc2732e5",2023-03-07T08:42:38Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"f791e0b7-ccad-4674-96a8-341f97fc74b1","485b2db8-5572-4b65-997b-d5f4665413bb",,"Final",2022-11-20T20:00:00Z,2022-11-20T20:00:00Z,250,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","08ff82b7-9a2e-407e-bea5-872f4443babe",2022-11-30T21:17:10Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"75be43f0-4a3a-44ed-8e43-cfe7fe4615c2","67246782-b826-4cf9-a16a-37da2c21fe52",,"Full Payment - Annual Subscription",2023-11-19T16:00:00Z,2023-11-20T16:00:00Z,2000,"Paid","Active","<p>11/20/2023 - Chased</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","09c0f4d8-a02a-4aa8-8293-f39039d75212",2023-02-15T06:38:26Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"fd7e7a92-8c22-4e9b-bf54-73618117efed","16f47e3e-11f9-4e8a-a8d0-e1347983c2d7",,"100% Immediate Payment",2024-09-11T20:00:00Z,2024-10-06T20:00:00Z,2625,"Paid","Active","<p>24/09/2024 - Chased</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","09c18989-52e3-45cd-bce8-c8a2bdd7c222",2024-09-06T07:08:24Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"73469973-b85b-4f9d-9a21-11b1e5362527","d2e2ed22-6226-4d6c-9f66-37268caa4859",,"50% Due for Payment",2024-08-21T20:00:00Z,2024-08-21T20:00:00Z,4200,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0a16e77d-0805-492d-be82-fd5674ac8376",2024-08-22T06:19:40Z,2025-08-11T10:42:35Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"b9275212-b867-42ca-b674-975c72c52c3b","bdf7a8bd-ac7e-4e25-8d8f-b330bd75e7a5",,"Initial Payment",2023-08-01T16:00:00Z,2023-08-01T16:00:00Z,8242.5,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0acc4d83-2c2e-4111-839f-c62719815086",2023-08-02T10:14:23Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"75be43f0-4a3a-44ed-8e43-cfe7fe4615c2","e5b373d5-92e4-411b-b35f-83e63c106f28",,"Due for payment",2024-10-31T20:00:00Z,2024-11-26T20:00:00Z,9450,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0b23418a-a243-4a75-a66e-8cf588b5b880",2024-10-03T07:42:56Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"8b4107d2-c184-4450-966a-819e88ba32ad","7526d57d-c25a-4d1a-bcaf-650d01541fe9",,"4th Payment",2024-09-27T20:00:00Z,,0,"Due","Cancelled","<p>Cancelled</p>",,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0bdf0d7f-f727-476d-9350-e98a500ca1f3",2024-06-24T09:57:22Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"8b4107d2-c184-4450-966a-819e88ba32ad","7526d57d-c25a-4d1a-bcaf-650d01541fe9",,"2nd Payment",2024-07-28T16:00:00Z,2024-08-12T16:00:00Z,3450,"Paid","Cancelled",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0be384fc-5738-4814-a781-b5f8b8a269b4",2024-06-24T09:52:59Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"34a2f467-ef8e-4733-b6ad-7d176e614466","b25a6291-9c3a-467d-9f20-0d9d34158f4b",,"Installment 10",2025-03-30T20:00:00Z,2025-04-06T20:00:00Z,5250,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0c29a39a-7353-43a9-95c7-2f8d1c87e170",2024-07-18T08:07:24Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"34a2f467-ef8e-4733-b6ad-7d176e614466","b25a6291-9c3a-467d-9f20-0d9d34158f4b",,"Installment 11",2025-04-29T20:00:00Z,2025-05-04T20:00:00Z,5250,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0c2b1bea-7976-4923-bc89-3e877936f7f8",2024-07-18T08:07:32Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"f9c4b9cf-50cd-44a2-ba40-f853a021b41f","1c4d0af5-0b0b-4916-a4ac-e9f93dedea2f","RX-REV22MM-053","Final",2022-09-29T20:00:00Z,2022-09-29T20:00:00Z,3000,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0e48bd65-3b79-429f-8ede-4d35f1f5229f",2022-11-30T20:55:48Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"8b4107d2-c184-4450-966a-819e88ba32ad","7526d57d-c25a-4d1a-bcaf-650d01541fe9",,"1st Payment",2024-06-09T16:00:00Z,2024-06-25T16:00:00Z,2250,"Paid","Cancelled",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0eca07f3-61d9-4a12-9867-d5f4b56e6968",2024-06-24T09:52:24Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"e2b67c24-6545-4ed4-953f-06c53d8f6e6b","3951df0b-8738-4ff9-9080-47aafc61d7f0",,"4th Installment",2024-11-29T20:00:00Z,2024-11-29T20:00:00Z,5250,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0f493ae6-e058-4ff4-bdaa-7c639b963417",2024-07-30T06:44:20Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",0,
"2efc4a99-f8c9-4b25-b8fd-463c8f13cad2","32e7b2ea-f330-40bf-b441-91b558dc95fa","RX-REV23MM-097","2nd Payment",2023-10-31T16:00:00Z,2023-12-18T16:00:00Z,5156.63,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0f73c9de-cb5d-4a3d-88f2-eb7f06e38c67",2024-01-04T06:11:11Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"95e395d7-0d71-4943-aab0-4d2e8bb091f8","c39cda15-abc5-4145-b2fc-6019d71ea0c9",,"100% Payment",2023-08-01T16:00:00Z,2023-08-01T16:00:00Z,1758.75,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0fc1a80f-8457-4672-99d4-9d2151e84a97",2023-08-02T10:35:58Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"662cb79e-f2bf-4ae5-a777-5f4a3bce8fa7","dc4bcf27-617f-490b-9da6-7fbecb0c4f7a",,"Due for Payment",2024-09-24T20:00:00Z,2024-09-29T20:00:00Z,2100,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","1181201d-dd3e-4c3f-a94e-9001c47dab98",2024-09-25T06:10:21Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"f9c4b9cf-50cd-44a2-ba40-f853a021b41f","696a9d3a-7f4d-4715-95ed-8887da8952e9",,"Final Payment",2024-04-19T16:00:00Z,2024-04-29T16:00:00Z,7300.12,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","11d7c2f6-0304-4fbc-955d-804bdfd120e8",2024-03-29T07:40:26Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"a2b2ac31-3ec4-421a-a429-676fed26d838","491c440d-7c7d-4f0a-9fce-ff58262be9bf",,"2nd Payment",2023-10-31T16:00:00Z,2023-11-05T16:00:00Z,4532,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","134d861d-a40a-43a8-b0e6-21afa675414f",2023-10-06T08:23:36Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"46ec2c6f-c19b-4c82-982c-13b9cc6bb54c","1917d406-22d1-4e7f-82db-0a96d12bda29",,"1st Installment",2024-09-08T20:00:00Z,2024-09-08T20:00:00Z,5775,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","136d9b2f-a760-4b77-9642-b5e80bbcb689",2024-09-05T11:05:50Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"0504934a-00e2-435f-a2fa-8d03fb8cadbf","2d4514b5-9e4a-4de6-b00a-f1036d402a0f",,"100% Immediate Payment",2024-11-13T20:00:00Z,,8400,"Due","Cancelled",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","13e6ba6b-3281-4feb-9738-6932fed56753",2024-03-04T05:52:24Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"8b4107d2-c184-4450-966a-819e88ba32ad","a690d8cf-7b7f-45f4-a9f8-e4bd14537938",,"1st Installment",2024-06-30T16:00:00Z,2024-07-17T16:00:00Z,4138,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","14daa169-e143-45fd-8919-1a8bee9d1038",2024-06-24T10:05:45Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"f644f0b2-3ef9-4d0a-80c3-276de3135008","5f0b96a2-4df3-422f-89cc-50d424642ddd",,"Due for Payment",2026-01-11T20:00:00Z,2026-01-20T20:00:00Z,4003,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","14ebfee3-0cef-4640-abde-9f178d551063",2025-11-05T09:57:56Z,2026-01-21T14:12:01Z,"01f011dc-8d52-4de4-9524-780ccef3313b",0.5,
"e2b67c24-6545-4ed4-953f-06c53d8f6e6b","4d343a93-f86e-4000-a524-0947605314b8","RX-24MM-078","9th Installment",2025-04-30T16:00:00Z,,5250,"Due","Active",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","163307fb-e965-4548-a3d6-cd434852778b",2024-07-30T06:29:30Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"ac8e2429-cd88-4f8a-97b3-cfb7abb2e4f9","5709bda7-2b82-4795-8702-7b0180607bb6","RX-25MM-105","Due for Payment",2025-10-24T20:00:00Z,2025-10-26T20:00:00Z,2100,"Paid","Active","<p>Thru Reimbursement</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","171ef179-b9e3-402b-9467-27eee1ce1871",2025-10-27T07:58:18Z,2025-10-27T07:58:51Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","02fd6982-dffb-46ec-8028-65abfb3ffec8",,"Payment 7",2025-09-09T20:00:00Z,2025-09-15T20:00:00Z,51321.8,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","17656c89-4ee7-4b61-ac14-bc95199cf136",2025-03-07T08:15:09Z,2025-12-11T10:00:00Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","02fd6982-dffb-46ec-8028-65abfb3ffec8",,"Payment 2",2025-04-06T20:00:00Z,2025-04-14T20:00:00Z,31722,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","17d08740-f3d0-4fac-90af-6ede22b227eb",2025-03-07T08:15:09Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"75be43f0-4a3a-44ed-8e43-cfe7fe4615c2","d22c954a-f0d5-4bf6-ab4f-c404f0b7d98a",,"For the month of September",2025-09-14T20:00:00Z,2025-09-18T20:00:00Z,5906.25,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","184ec0f9-67cb-4e9e-b7d1-ec1ba9c16583",2025-08-27T09:53:56Z,2025-09-30T06:40:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"f366a4bc-ab80-483f-88d6-7843cb313797","1cde3a97-f398-4c70-b399-2ec4f42188f7",,"50% Due upon completion of the project",2024-12-15T20:00:00Z,2024-12-22T20:00:00Z,6792.5,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","18bc8463-3b15-40e7-931a-ec33d745b219",2024-07-22T12:36:25Z,2025-08-13T10:39:22Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"baf0c249-c211-4d56-87d0-528aeed3e86e","aed579d5-614f-4169-a42a-29b900297cd8","RX-24MM-003","Immediate Payment",2024-01-17T16:00:00Z,,3000,"Due","Cancelled",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","18f88a91-f3a2-49ab-b8a0-92dee86f8cab",2024-01-18T06:24:07Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"e2b67c24-6545-4ed4-953f-06c53d8f6e6b","4d343a93-f86e-4000-a524-0947605314b8","RX-24MM-078","10th Installment",2025-05-31T16:00:00Z,,5250,"Due","Active",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","190782f4-f870-4fe9-83b5-7e78751ba018",2024-07-30T06:29:53Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"8b4107d2-c184-4450-966a-819e88ba32ad","a690d8cf-7b7f-45f4-a9f8-e4bd14537938",,"2nd Installment",2024-07-30T20:00:00Z,2024-08-14T20:00:00Z,1774,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","19434325-2043-49c8-8a7c-425f5d9667e2",2024-06-24T10:07:00Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",0,
"97fa41fe-3189-46cb-93d0-c7aa942c609c","28612ab3-486d-49aa-8ef8-0f201b6c03e7",,"50% Initial Payment",2023-01-31T20:00:00Z,2023-01-31T20:00:00Z,2000,"Paid","Active","<p>02/09 - 50% PAID</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","1b007e95-eec2-4301-aa3b-d845688f111c",2023-02-02T07:27:06Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","6d963f20-b825-43a8-9d55-5100b911c8ef",,"2nd Payment",2025-07-18T20:00:00Z,2025-08-18T20:00:00Z,1470,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","1b879f5a-7915-4a3d-9ec3-45e348c9eb99",2025-06-11T08:17:24Z,2025-08-25T08:12:33Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
